"","Rhizobiaceae","Pseudomonadaceae","Burkholderiaceae","(Order)Hyphomicrobiales","Mycobacteriaceae","Pseudonocardiaceae","Paenibacillaceae","Clostridiaceae","Hymenobacteraceae","Comamonadaceae","Corynebacteriaceae","Micrococcaceae","Streptomycetaceae","Phyllobacteriaceae","Rhodobacteraceae","Vibrionaceae","Acetobacteraceae","Streptococcaceae","Aeromonadaceae","Microbacteriaceae","Actinomycetaceae","Sphingomonadaceae","Sphingobacteriaceae","Peptococcaceae","Flavobacteriaceae","Bifidobacteriaceae","Bradyrhizobiaceae","Bacteroidaceae","Oscillospiraceae","Nocardiaceae","Cytophagaceae","Bacillaceae","Lachnospiraceae","Cystobacterineae","Lactobacillaceae","Geobacteraceae","Roseobacteraceae","Porphyromonadaceae","Caulobacteraceae","Staphylococcaceae","(Order)Bacillales","Alcaligenaceae","Xanthomonadaceae","(Order)Burkholderiales","Treponemataceae","Chlorobiaceae","Chitinophagaceae","Enterobacteriaceae","Oxalobacteraceae","Weeksellaceae","Atopobiaceae","Eubacteriaceae","Prevotellaceae","Nocardioidaceae","Halomonadaceae","Desulfovibrionaceae","Enterococcaceae","Peptostreptococcaceae","Chromobacteriaceae","(Class)Alphaproteobacteria","Erythrobacteraceae","Barnesiellaceae","Erysipelotrichaceae","(Class)Gammaproteobacteria","Dysgonomonadaceae","Eggerthellaceae","(Order)Eubacteriales","Tannerellaceae","Turicibacteraceae","(Phylum)Firmicutes","(Phylum)Proteobacteria","Rikenellaceae","(Class)Actinomycetia","Muribaculaceae","(Order)Bacteroidales","Odoribacteraceae","(Unclassified)Bacteria","Akkermansiaceae","(Phylum)Bacteroidetes","(Class)Bacilli","xCD28","xCD57","xIL7","xTIM3","xPD1","xTLR2","xTLR4","xReg3g","xSerumIL6"
"Akkermansiaceae",0,0,-0.846557903837188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.844790709326539,0,0,0,0,0,0,0.916734007266903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.89928399327648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.841080037646834,0,0,0,0,0,0,0,0
"(Phylum)Bacteroidetes",0,0,0,0,0,-0.830285375628569,-0.848451776213135,-0.872742933894633,0.975993586831389,0,0,0,-0.843475325063703,0,0,0,0,0,0,0,0,0.854479870380239,0.874155994439407,-0.846101973488778,0,0,0.854785016248183,0,-0.886629738723027,0,0.936536809117781,0,-0.85760027726445,0,0,0,0,0.992590560219826,0,0,0,0,0,0,0,0,0.958201347441779,0,0,0,0,-0.845142680593644,0.990837957006156,0,0,0,-0.860261186898551,-0.826886236987694,0,0,0.821109808020902,0.99651610551621,0,0,0.89414274457248,0.817204494875122,-0.879186472300645,0.973222214449302,0.892095146713705,-0.823955084081763,0,0,0,0.986100861278958,0.952700156262502,0.99188006351661,0,0,1,0,0,0,0,0,0,0,0,0,0
"(Class)Bacilli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842381584599025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.859878780562616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.844400741960226,0,0,0,0,0,0,0,0,1,0,0,0,0,0.81617239195327,0,0,0,0
"xCD28",0.906964214825316,0,0.831866526568948,0,0,0,0,0,0,0,0.856636705980152,0,0,0,0.841472559828493,0,0,0,0,0,0,0,0,0,0,0,0,-0.863164483232534,0,0,0,0,0,0,0,0.854693080215777,0.897136938518664,0,0,0.85539024669266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827659810267023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.886830318298217,0,0,0,0,0,-0.841080037646834,0,0,1,0,0,0,0,0,0,0,0
"xCD57",0,0,0,0,0,0,0,0,0,0,0,0,0,0.969089479541056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.83933711007862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.853119394940879,0,0,0,0,0
"xIL7",0,0,0,0,0,0,0,0.836208769574147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.821078199953127,0,0,-0.847814978252886,0,0,0,0,0.823677385644196,0.82589822272367,0,0,0,0,0,0,0.852723958647712,0.83013590612522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842994502591036,0.826181953394245,0,0,-0.904915741757094,0,0,0,0,0,0,0,0,0.828206783184343,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.989607821444385,0,0,0
"xTIM3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.853119394940879,0,1,0,0,0,0,0
"xPD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81617239195327,0,0,0,0,1,0,0,0,0
"xTLR2",0,0,0,0,0,0,0,0.851110029287784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836855998449446,0,0,-0.824390156028983,0,0,0,0,0.833553804950042,0.842968014837241,0,0,0,0,0,0,0.856642564213003,0.831681760178354,0,0,0,0,0,0,0,0,0,0,0.816317055985837,0,0,0,0,0.860598896959499,0.843492301807114,0,0,-0.906044584434459,0,0,0,0,0,0,0,0,0.839441507141209,0,0,0,0,0,0,0,0,0,0,0,0,0.989607821444385,0,0,1,0,0,0
"xTLR4",0,0,0.817160616691785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825496922658212,0.860362622575676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.847385438219488,0
"xReg3g",0,0,0,0,-0.894645443388261,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.858844502225271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.886249047497788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.847385438219488,1,0
"xSerumIL6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
